group,n,diff
1,7,-0.02869772911071711
1,9,-0.02868986129760697
1,7,-0.02867352962493896
1,4,-0.02865767478942804
1,4,-0.02865767478942804
1,4,-0.02865767478942804
1,4,-0.02860140800476008
1,8,-0.02860021591186501
1,8,-0.02860021591186501
1,7,-0.02858352661132791
1,7,-0.02855861186981201
1,7,-0.02855861186981201
1,7,-0.02855861186981201
1,7,-0.02855598926544189
1,4,-0.02851319313049294
1,4,-0.02851319313049294
1,7,-0.02849888801574707
1,6,-0.02841877937316895
1,6,-0.02841877937316895
1,6,-0.02841877937316895
1,6,-0.02841877937316895
1,6,-0.02841877937316895
1,5,-0.028392434120178
1,9,-0.02831065654754594
1,8,-0.02830100059509211
1,12,-0.02826821804046609
1,14,-0.02826642990112305
1,10,-0.02825665473937899
1,7,-0.02824068069458008
1,7,-0.02824068069458008
1,15,-0.02819752693176204
1,6,-0.02818644046783403
1,7,-0.02814495563506992
1,8,-0.02811932563781694
1,5,-0.0280815362930289
1,4,-0.02807831764221191
1,9,-0.02800548076629594
1,7,-0.02799320220947199
1,7,-0.02799320220947199
1,7,-0.02799320220947199
1,6,-0.02790248394012407
1,5,-0.027881860733032
1,8,-0.0277624130249019
1,11,-0.0277042388916009
1,6,-0.02770304679870605
1,6,-0.02770304679870605
1,6,-0.02770304679870605
1,10,-0.02766752243041992
1,8,-0.02765929698944092
1,8,-0.02765929698944092
1,6,-0.02761471271514893
1,13,-0.02760660648345903
1,3,-0.027598977088928
1,7,-0.0274988412857049
1,7,-0.0274988412857049
1,4,-0.02749764919281006
1,5,-0.02734756469726496
1,14,-0.02722787857055597
1,7,-0.02720558643340999
1,3,-0.02717959880828791
1,7,-0.02717089653015093
1,7,-0.02717089653015093
1,3,-0.02714347839355401
1,3,-0.02712070941925004
1,8,-0.02711176872253396
1,6,-0.02709591388702393
1,6,-0.02706348896026612
1,6,-0.02706348896026612
1,6,-0.02706348896026612
1,6,-0.02702343463897705
1,6,-0.02702343463897705
1,6,-0.02702343463897705
1,6,-0.02701818943023593
1,6,-0.02699720859527499
1,19,-0.02696216106414795
1,6,-0.02693724632263095
1,7,-0.02693367004394509
1,13,-0.02692377567291193
1,9,-0.02673220634460405
1,7,-0.02669036388397194
1,18,-0.02662110328674294
1,6,-0.02661764621734597
1,6,-0.02661764621734597
1,11,-0.026578187942504
1,12,-0.02655196189880304
1,6,-0.02648591995239191
1,11,-0.02647113800048806
1,15,-0.02646601200103693
1,5,-0.02628767490386896
1,10,-0.0262230634689331
1,6,-0.02618539333343506
1,13,-0.02617514133453303
1,10,-0.0261672735214229
1,11,-0.02615761756896906
1,9,-0.02613735198974609
1,8,-0.02608299255371094
